id,name,price,stock,description,isArchived
666,Produit 665,98.03,29,Description automatique,
667,Produit 666,68.73,14,Description automatique,
668,Produit 667,20.39,47,Description automatique,
669,Produit 668,6.11,10,Description automatique,
670,Produit 669,66.75,25,Description automatique,
671,Produit 670,37.94,13,Description automatique,
672,Produit 671,52.08,24,Description automatique,
673,Produit 672,8.44,41,Description automatique,
674,Produit 673,79.53,17,Description automatique,
675,Produit 674,84.16,36,Description automatique,
676,Produit 675,83.08,11,Description automatique,
677,Produit 676,93.41,9,Description automatique,
678,Produit 677,59.21,19,Description automatique,
679,Produit 678,20,6,Description automatique,
680,Produit 679,42.86,4,Description automatique,
681,Produit 680,72.58,23,Description automatique,
682,Produit 681,95.29,45,Description automatique,
683,Produit 682,75.97,3,Description automatique,
684,Produit 683,72.69,41,Description automatique,
685,Produit 684,58.52,31,Description automatique,
686,Produit 685,0.68,24,Description automatique,
687,Produit 686,83.19,6,Description automatique,
688,Produit 687,84.94,26,Description automatique,
689,Produit 688,54.19,49,Description automatique,
690,Produit 689,79.23,10,Description automatique,
691,Produit 690,68.92,32,Description automatique,
692,Produit 691,47.24,9,Description automatique,
693,Produit 692,71.92,36,Description automatique,
694,Produit 693,69.17,7,Description automatique,
695,Produit 694,98.03,35,Description automatique,
696,Produit 695,64.79,39,Description automatique,
697,Produit 696,35.06,10,Description automatique,
698,Produit 697,95.38,0,Description automatique,
699,Produit 698,59.65,48,Description automatique,
700,Produit 699,94.85,47,Description automatique,
701,Produit 700,95.69,34,Description automatique,
702,Produit 701,7.12,23,Description automatique,
703,Produit 702,54.55,24,Description automatique,
704,Produit 703,79.8,35,Description automatique,
705,Produit 704,49.08,38,Description automatique,
706,Produit 705,28.89,33,Description automatique,
707,Produit 706,63.23,39,Description automatique,
708,Produit 707,19.81,27,Description automatique,
709,Produit 708,44.63,43,Description automatique,
710,Produit 709,53.4,32,Description automatique,
711,Produit 710,90.09,8,Description automatique,
712,Produit 711,13.71,39,Description automatique,
713,Produit 712,24.39,42,Description automatique,
714,Produit 713,24.51,2,Description automatique,
715,Produit 714,82.85,31,Description automatique,
716,Produit 715,52.29,28,Description automatique,
717,Produit 716,0.06,7,Description automatique,
718,Produit 717,96.97,36,Description automatique,
719,Produit 718,76.35,6,Description automatique,
720,Produit 719,84.46,35,Description automatique,
721,Produit 720,89.74,47,Description automatique,
722,Produit 721,6.8,42,Description automatique,
723,Produit 722,6.08,40,Description automatique,
724,Produit 723,46.94,49,Description automatique,
725,Produit 724,74.18,5,Description automatique,
726,Produit 725,97.77,49,Description automatique,
727,Produit 726,33.56,35,Description automatique,
728,Produit 727,99.78,41,Description automatique,
729,Produit 728,26.57,33,Description automatique,
730,Produit 729,10.01,25,Description automatique,
731,Produit 730,63.96,34,Description automatique,
732,Produit 731,95.31,35,Description automatique,
733,Produit 732,33.9,17,Description automatique,
734,Produit 733,96.26,4,Description automatique,
735,Produit 734,68.9,1,Description automatique,
736,Produit 735,21.83,30,Description automatique,
737,Produit 736,78.74,20,Description automatique,
738,Produit 737,64.43,29,Description automatique,
739,Produit 738,0.68,32,Description automatique,
740,Produit 739,21.91,18,Description automatique,
741,Produit 740,96.9,31,Description automatique,
742,Produit 741,88.06,31,Description automatique,
743,Produit 742,54.02,44,Description automatique,
744,Produit 743,88.16,38,Description automatique,
745,Produit 744,97.17,39,Description automatique,
746,Produit 745,63.58,49,Description automatique,
747,Produit 746,39.45,27,Description automatique,
748,Produit 747,67.17,16,Description automatique,
749,Produit 748,95.84,32,Description automatique,
750,Produit 749,51.7,23,Description automatique,
751,Produit 750,11.41,8,Description automatique,
752,Produit 751,16.61,3,Description automatique,
753,Produit 752,80.42,26,Description automatique,
754,Produit 753,43.23,21,Description automatique,
755,Produit 754,61.15,22,Description automatique,
756,Produit 755,44.37,41,Description automatique,
757,Produit 756,11.14,40,Description automatique,
758,Produit 757,70.89,47,Description automatique,
759,Produit 758,35.16,12,Description automatique,
760,Produit 759,97.78,11,Description automatique,
761,Produit 760,12.29,0,Description automatique,
762,Produit 761,18.1,26,Description automatique,
763,Produit 762,51.94,10,Description automatique,
764,Produit 763,93.82,22,Description automatique,
765,Produit 764,30.65,8,Description automatique,
766,Produit 765,36.15,6,Description automatique,
767,Produit 766,78.94,37,Description automatique,
768,Produit 767,62.57,45,Description automatique,
769,Produit 768,27.31,17,Description automatique,
770,Produit 769,93.66,29,Description automatique,
771,Produit 770,39.79,47,Description automatique,
772,Produit 771,84.18,13,Description automatique,
773,Produit 772,85.34,0,Description automatique,
774,Produit 773,7.63,10,Description automatique,
775,Produit 774,38.18,17,Description automatique,
776,Produit 775,61.14,20,Description automatique,
777,Produit 776,40.57,20,Description automatique,
778,Produit 777,71.26,5,Description automatique,
779,Produit 778,7.09,10,Description automatique,
780,Produit 779,14.9,32,Description automatique,
781,Produit 780,7.66,1,Description automatique,
782,Produit 781,88.07,9,Description automatique,
783,Produit 782,4.43,2,Description automatique,
784,Produit 783,93.27,18,Description automatique,
785,Produit 784,81.09,14,Description automatique,
786,Produit 785,43.44,35,Description automatique,
787,Produit 786,60.65,37,Description automatique,
788,Produit 787,42.8,39,Description automatique,
789,Produit 788,50.78,39,Description automatique,
790,Produit 789,26.76,20,Description automatique,
791,Produit 790,65.86,21,Description automatique,
792,Produit 791,2.96,13,Description automatique,
793,Produit 792,48.84,8,Description automatique,
794,Produit 793,12.02,6,Description automatique,
795,Produit 794,2.15,4,Description automatique,
796,Produit 795,38.88,13,Description automatique,
797,Produit 796,68.47,17,Description automatique,
798,Produit 797,53.25,8,Description automatique,
799,Produit 798,56.89,44,Description automatique,
800,Produit 799,17.08,7,Description automatique,
801,Produit 800,52.09,19,Description automatique,
802,Produit 801,16.59,9,Description automatique,
803,Produit 802,18.59,16,Description automatique,
804,Produit 803,8.3,14,Description automatique,
805,Produit 804,75.8,47,Description automatique,
806,Produit 805,96.75,28,Description automatique,
807,Produit 806,5.56,15,Description automatique,
808,Produit 807,25.45,23,Description automatique,
809,Produit 808,52.08,39,Description automatique,
810,Produit 809,75.03,3,Description automatique,
811,Produit 810,12.14,4,Description automatique,
812,Produit 811,99.86,30,Description automatique,
813,Produit 812,44.99,40,Description automatique,
814,Produit 813,85.07,14,Description automatique,
815,Produit 814,28.17,28,Description automatique,
816,Produit 815,41.77,10,Description automatique,
817,Produit 816,68,14,Description automatique,
818,Produit 817,58.79,17,Description automatique,
819,Produit 818,43.31,31,Description automatique,
820,Produit 819,47.47,43,Description automatique,
821,Produit 820,99.62,30,Description automatique,
822,Produit 821,38.23,26,Description automatique,
823,Produit 822,51.45,20,Description automatique,
824,Produit 823,49.55,0,Description automatique,
825,Produit 824,3.38,19,Description automatique,
826,Produit 825,51.72,17,Description automatique,
827,Produit 826,74.99,2,Description automatique,
828,Produit 827,55.17,42,Description automatique,
829,Produit 828,93.6,34,Description automatique,
830,Produit 829,94.21,10,Description automatique,
831,Produit 830,31.26,44,Description automatique,
832,Produit 831,89.97,23,Description automatique,
833,Produit 832,35.1,12,Description automatique,
834,Produit 833,88.52,38,Description automatique,
835,Produit 834,3.7,0,Description automatique,
836,Produit 835,65.45,40,Description automatique,
837,Produit 836,87.22,30,Description automatique,
838,Produit 837,25.38,10,Description automatique,
839,Produit 838,84.28,39,Description automatique,
840,Produit 839,10.39,3,Description automatique,
841,Produit 840,97.26,7,Description automatique,
842,Produit 841,97.08,46,Description automatique,
843,Produit 842,41.37,27,Description automatique,
844,Produit 843,22.84,47,Description automatique,
845,Produit 844,35.34,7,Description automatique,
846,Produit 845,96.48,30,Description automatique,
847,Produit 846,64.36,25,Description automatique,
848,Produit 847,44.44,36,Description automatique,
849,Produit 848,10.35,38,Description automatique,
850,Produit 849,2.68,30,Description automatique,
851,Produit 850,7.9,32,Description automatique,
852,Produit 851,80.08,3,Description automatique,
853,Produit 852,7.37,37,Description automatique,
854,Produit 853,46.57,11,Description automatique,
855,Produit 854,48.09,18,Description automatique,
856,Produit 855,79.92,46,Description automatique,
857,Produit 856,66.17,32,Description automatique,
858,Produit 857,59.66,13,Description automatique,
859,Produit 858,45.26,19,Description automatique,
860,Produit 859,17.31,42,Description automatique,
861,Produit 860,67.32,33,Description automatique,
862,Produit 861,35.18,25,Description automatique,
863,Produit 862,14.68,13,Description automatique,
864,Produit 863,16.69,16,Description automatique,
865,Produit 864,50.63,15,Description automatique,
866,Produit 865,65.69,41,Description automatique,
867,Produit 866,32.83,42,Description automatique,
868,Produit 867,70.48,45,Description automatique,
869,Produit 868,21.15,24,Description automatique,
870,Produit 869,16.83,13,Description automatique,
871,Produit 870,27.9,4,Description automatique,
872,Produit 871,89.75,7,Description automatique,
873,Produit 872,31.52,45,Description automatique,
874,Produit 873,37.72,18,Description automatique,
875,Produit 874,58.28,10,Description automatique,
876,Produit 875,46.79,16,Description automatique,
877,Produit 876,64.17,37,Description automatique,
878,Produit 877,35.87,6,Description automatique,
879,Produit 878,37.58,17,Description automatique,
880,Produit 879,7.4,16,Description automatique,
881,Produit 880,70.24,32,Description automatique,
882,Produit 881,11.77,10,Description automatique,
883,Produit 882,65.59,34,Description automatique,
884,Produit 883,41.96,0,Description automatique,
885,Produit 884,75.93,28,Description automatique,
886,Produit 885,75.43,38,Description automatique,
887,Produit 886,81.03,10,Description automatique,
888,Produit 887,10.25,8,Description automatique,
889,Produit 888,9,17,Description automatique,
890,Produit 889,87.99,21,Description automatique,
891,Produit 890,8.76,43,Description automatique,
892,Produit 891,10.99,37,Description automatique,
893,Produit 892,62.48,2,Description automatique,
894,Produit 893,26.24,41,Description automatique,
895,Produit 894,51.16,29,Description automatique,
896,Produit 895,51.01,32,Description automatique,
897,Produit 896,98.04,40,Description automatique,
898,Produit 897,22.68,26,Description automatique,
899,Produit 898,25.17,31,Description automatique,
900,Produit 899,84.67,43,Description automatique,
901,Produit 900,92.74,14,Description automatique,
902,Produit 901,7.97,28,Description automatique,
903,Produit 902,84.27,41,Description automatique,
904,Produit 903,37.53,30,Description automatique,
905,Produit 904,35.93,20,Description automatique,
906,Produit 905,3.73,31,Description automatique,
907,Produit 906,26.8,49,Description automatique,
908,Produit 907,61.3,38,Description automatique,
909,Produit 908,12.91,14,Description automatique,
910,Produit 909,91.43,36,Description automatique,
911,Produit 910,90.28,12,Description automatique,
912,Produit 911,82.31,34,Description automatique,
913,Produit 912,32.55,9,Description automatique,
914,Produit 913,51.75,13,Description automatique,
915,Produit 914,17.9,0,Description automatique,
916,Produit 915,29.94,26,Description automatique,
917,Produit 916,68.91,1,Description automatique,
918,Produit 917,56.84,27,Description automatique,
919,Produit 918,11.48,8,Description automatique,
920,Produit 919,35.4,10,Description automatique,
921,Produit 920,42.97,28,Description automatique,
922,Produit 921,34.08,44,Description automatique,
923,Produit 922,18.95,27,Description automatique,
924,Produit 923,7.07,43,Description automatique,
925,Produit 924,99.12,19,Description automatique,
926,Produit 925,94.18,24,Description automatique,
927,Produit 926,4.93,8,Description automatique,
928,Produit 927,16.37,27,Description automatique,
929,Produit 928,13.81,11,Description automatique,
930,Produit 929,56.92,15,Description automatique,
931,Produit 930,61.48,27,Description automatique,
932,Produit 931,62.54,37,Description automatique,
933,Produit 932,80.17,10,Description automatique,
934,Produit 933,9.88,15,Description automatique,
935,Produit 934,5.47,10,Description automatique,
936,Produit 935,53.65,47,Description automatique,
937,Produit 936,48.83,17,Description automatique,
938,Produit 937,73.65,40,Description automatique,
939,Produit 938,36.5,39,Description automatique,
940,Produit 939,35.44,45,Description automatique,
941,Produit 940,63.29,37,Description automatique,
942,Produit 941,38.85,13,Description automatique,
943,Produit 942,97.76,36,Description automatique,
944,Produit 943,51.7,23,Description automatique,
945,Produit 944,33.34,2,Description automatique,
946,Produit 945,52.81,3,Description automatique,
947,Produit 946,0.67,25,Description automatique,
948,Produit 947,8.1,9,Description automatique,
949,Produit 948,15.2,47,Description automatique,
950,Produit 949,97.78,48,Description automatique,
951,Produit 950,68.01,32,Description automatique,
952,Produit 951,75.9,14,Description automatique,
953,Produit 952,49.82,20,Description automatique,
954,Produit 953,61.78,25,Description automatique,
955,Produit 954,62.99,48,Description automatique,
956,Produit 955,72.63,19,Description automatique,
957,Produit 956,83.35,19,Description automatique,
958,Produit 957,35.13,27,Description automatique,
959,Produit 958,90.01,49,Description automatique,
960,Produit 959,30.7,14,Description automatique,
961,Produit 960,75.99,6,Description automatique,
962,Produit 961,78.53,29,Description automatique,
963,Produit 962,49.93,8,Description automatique,
964,Produit 963,16.69,28,Description automatique,
965,Produit 964,28.39,2,Description automatique,
966,Produit 965,43.18,18,Description automatique,
967,Produit 966,14.01,23,Description automatique,
968,Produit 967,55.05,46,Description automatique,
969,Produit 968,25.22,19,Description automatique,
970,Produit 969,53.35,30,Description automatique,
971,Produit 970,38.7,29,Description automatique,
972,Produit 971,90.32,46,Description automatique,
973,Produit 972,97.89,41,Description automatique,
974,Produit 973,23.67,8,Description automatique,
975,Produit 974,56.91,13,Description automatique,
976,Produit 975,89.1,34,Description automatique,
977,Produit 976,42.08,34,Description automatique,
978,Produit 977,48.13,20,Description automatique,
979,Produit 978,83.32,4,Description automatique,
980,Produit 979,59.15,18,Description automatique,
981,Produit 980,33.02,26,Description automatique,
982,Produit 981,42.6,16,Description automatique,
983,Produit 982,36.25,27,Description automatique,
984,Produit 983,2.71,48,Description automatique,
985,Produit 984,84.39,15,Description automatique,
986,Produit 985,26.14,42,Description automatique,
987,Produit 986,1.02,17,Description automatique,
988,Produit 987,55.06,25,Description automatique,
989,Produit 988,99.03,20,Description automatique,
990,Produit 989,7.76,47,Description automatique,
991,Produit 990,38.02,3,Description automatique,
992,Produit 991,50.21,5,Description automatique,
993,Produit 992,69.57,11,Description automatique,
994,Produit 993,9.53,7,Description automatique,
995,Produit 994,14.74,24,Description automatique,
996,Produit 995,89.5,25,Description automatique,
997,Produit 996,76.17,14,Description automatique,
998,Produit 997,78.02,0,Description automatique,
999,Produit 998,48.64,29,Description automatique,
1000,Produit 999,52.6,13,Description automatique,
1001,Produit 1000,14.31,25,Description automatique,
1002,Produit 1001,63.38,29,Description automatique,
1003,Produit 1002,91.45,3,Description automatique,
1004,Produit 1003,25.99,25,Description automatique,
1005,Produit 1004,82.41,18,Description automatique,
1006,Produit 1005,5.54,31,Description automatique,
1007,Produit 1006,99.5,21,Description automatique,
1008,Produit 1007,53.14,40,Description automatique,
1009,Produit 1008,94,35,Description automatique,
1010,Produit 1009,45.34,0,Description automatique,
1011,Produit 1010,47.03,36,Description automatique,
1012,Produit 1011,9.77,19,Description automatique,
1013,Produit 1012,87.73,49,Description automatique,
1014,Produit 1013,6.95,21,Description automatique,
1015,Produit 1014,7.48,14,Description automatique,
1016,Produit 1015,90.01,25,Description automatique,
1017,Produit 1016,75.1,45,Description automatique,
1018,Produit 1017,68.79,11,Description automatique,
1019,Produit 1018,83.38,42,Description automatique,
1020,Produit 1019,70.83,47,Description automatique,
1021,Produit 1020,5.86,24,Description automatique,
1022,Produit 1021,44.3,0,Description automatique,
1023,Produit 1022,64.86,34,Description automatique,
1024,Produit 1023,55.13,26,Description automatique,
1025,Produit 1024,55.33,2,Description automatique,
1026,Produit 1025,19.35,46,Description automatique,
1027,Produit 1026,79.46,40,Description automatique,
1028,Produit 1027,94.57,40,Description automatique,
1029,Produit 1028,76.57,32,Description automatique,
1030,Produit 1029,66.02,37,Description automatique,
1031,Produit 1030,75.18,17,Description automatique,
1032,Produit 1031,93.81,1,Description automatique,
1033,Produit 1032,51.02,43,Description automatique,
1034,Produit 1033,56.89,6,Description automatique,
1035,Produit 1034,54.78,8,Description automatique,
1036,Produit 1035,64.57,49,Description automatique,
1037,Produit 1036,16.14,37,Description automatique,
1038,Produit 1037,86.52,1,Description automatique,
1039,Produit 1038,48.77,36,Description automatique,
1040,Produit 1039,81.66,36,Description automatique,
1041,Produit 1040,83.87,0,Description automatique,
1042,Produit 1041,55.03,35,Description automatique,
1043,Produit 1042,31.7,20,Description automatique,
1044,Produit 1043,80.49,34,Description automatique,
1045,Produit 1044,22.88,37,Description automatique,
1046,Produit 1045,32.16,17,Description automatique,
1047,Produit 1046,61.7,14,Description automatique,
1048,Produit 1047,40.81,11,Description automatique,
1049,Produit 1048,89.01,39,Description automatique,
1050,Produit 1049,63.78,21,Description automatique,
1051,Produit 1050,93.04,37,Description automatique,
1052,Produit 1051,59.27,6,Description automatique,
1053,Produit 1052,77.07,8,Description automatique,
1054,Produit 1053,86.58,17,Description automatique,
1055,Produit 1054,56.17,10,Description automatique,
1056,Produit 1055,10.21,18,Description automatique,
1057,Produit 1056,17.5,11,Description automatique,
1058,Produit 1057,84.34,28,Description automatique,
1059,Produit 1058,81.66,35,Description automatique,
1060,Produit 1059,44.93,24,Description automatique,
1061,Produit 1060,92.43,19,Description automatique,
1062,Produit 1061,50.87,32,Description automatique,
1063,Produit 1062,27.24,3,Description automatique,
1064,Produit 1063,24.78,34,Description automatique,
1065,Produit 1064,66.42,19,Description automatique,
1066,Produit 1065,45.8,35,Description automatique,
1067,Produit 1066,56.36,17,Description automatique,
1068,Produit 1067,45.9,44,Description automatique,
1069,Produit 1068,91.09,13,Description automatique,
1070,Produit 1069,2.71,35,Description automatique,
1071,Produit 1070,25.76,14,Description automatique,
1072,Produit 1071,92.69,49,Description automatique,
1073,Produit 1072,96.57,4,Description automatique,
1074,Produit 1073,93.14,19,Description automatique,
1075,Produit 1074,53.77,31,Description automatique,
1076,Produit 1075,73.87,22,Description automatique,
1077,Produit 1076,78.2,45,Description automatique,
1078,Produit 1077,88.5,20,Description automatique,
1079,Produit 1078,70.21,44,Description automatique,
1080,Produit 1079,77.15,20,Description automatique,
1081,Produit 1080,96.57,20,Description automatique,
1082,Produit 1081,71.5,32,Description automatique,
1083,Produit 1082,15.29,2,Description automatique,
1084,Produit 1083,51.84,37,Description automatique,
1085,Produit 1084,71.83,36,Description automatique,
1086,Produit 1085,64.83,23,Description automatique,
1087,Produit 1086,96.61,19,Description automatique,
1088,Produit 1087,43.2,19,Description automatique,
1089,Produit 1088,81.24,17,Description automatique,
1090,Produit 1089,28.45,4,Description automatique,
1091,Produit 1090,98.29,15,Description automatique,
1092,Produit 1091,85.83,19,Description automatique,
1093,Produit 1092,63.26,13,Description automatique,
1094,Produit 1093,9.39,2,Description automatique,
1095,Produit 1094,50.16,4,Description automatique,
1096,Produit 1095,19.82,43,Description automatique,
1097,Produit 1096,38.78,33,Description automatique,
1098,Produit 1097,86.94,27,Description automatique,
1099,Produit 1098,25.49,38,Description automatique,
1100,Produit 1099,97.73,43,Description automatique,
1101,Produit 1100,92.54,12,Description automatique,
1102,Produit 1101,19.75,28,Description automatique,
1103,Produit 1102,15.96,6,Description automatique,
1104,Produit 1103,74.33,18,Description automatique,
1105,Produit 1104,48.83,27,Description automatique,
1106,Produit 1105,33,19,Description automatique,
1107,Produit 1106,98.11,49,Description automatique,
1108,Produit 1107,12.14,26,Description automatique,
1109,Produit 1108,53.14,46,Description automatique,
1110,Produit 1109,68.35,48,Description automatique,
1111,Produit 1110,2.3,49,Description automatique,
1112,Produit 1111,32.88,34,Description automatique,
1113,Produit 1112,17.72,48,Description automatique,
1114,Produit 1113,54.64,17,Description automatique,
1115,Produit 1114,76.53,49,Description automatique,
1116,Produit 1115,18.58,24,Description automatique,
1117,Produit 1116,98.33,28,Description automatique,
1118,Produit 1117,53.91,7,Description automatique,
1119,Produit 1118,85.1,48,Description automatique,
1120,Produit 1119,54.24,35,Description automatique,
1121,Produit 1120,73.64,22,Description automatique,
1122,Produit 1121,15.84,41,Description automatique,
1123,Produit 1122,42.26,23,Description automatique,
1124,Produit 1123,77.58,38,Description automatique,
1125,Produit 1124,99.4,21,Description automatique,
1126,Produit 1125,67.48,39,Description automatique,
1127,Produit 1126,65.12,27,Description automatique,
1128,Produit 1127,40.4,49,Description automatique,
1129,Produit 1128,0.29,7,Description automatique,
1130,Produit 1129,21.34,25,Description automatique,
1131,Produit 1130,27.59,3,Description automatique,
1132,Produit 1131,85.4,3,Description automatique,
1133,Produit 1132,14,45,Description automatique,
1134,Produit 1133,45.17,4,Description automatique,
1135,Produit 1134,66.62,4,Description automatique,
1136,Produit 1135,30.34,40,Description automatique,
1137,Produit 1136,79.5,17,Description automatique,
1138,Produit 1137,41.57,1,Description automatique,
1139,Produit 1138,71.96,6,Description automatique,
1140,Produit 1139,20.1,42,Description automatique,
1141,Produit 1140,80.08,39,Description automatique,
1142,Produit 1141,94.2,15,Description automatique,
1143,Produit 1142,7.72,7,Description automatique,
1144,Produit 1143,3.54,11,Description automatique,
1145,Produit 1144,85.94,31,Description automatique,
1146,Produit 1145,22.53,2,Description automatique,
1147,Produit 1146,43.27,21,Description automatique,
1148,Produit 1147,0.97,13,Description automatique,
1149,Produit 1148,54.26,15,Description automatique,
1150,Produit 1149,77.3,36,Description automatique,
1151,Produit 1150,38.69,8,Description automatique,
1152,Produit 1151,65.4,12,Description automatique,
1153,Produit 1152,68.44,43,Description automatique,
1154,Produit 1153,28.53,27,Description automatique,
1155,Produit 1154,89.79,49,Description automatique,
1156,Produit 1155,51.43,8,Description automatique,
1157,Produit 1156,3.61,35,Description automatique,
1158,Produit 1157,75.39,48,Description automatique,
1159,Produit 1158,95.86,46,Description automatique,
1160,Produit 1159,18.86,27,Description automatique,
1161,Produit 1160,78.87,39,Description automatique,
1162,Produit 1161,81.53,39,Description automatique,
1163,Produit 1162,96.2,25,Description automatique,
1164,Produit 1163,56.61,49,Description automatique,
1165,Produit 1164,31.52,8,Description automatique,
1166,Produit 1165,25.32,29,Description automatique,
1167,Produit 1166,68.35,30,Description automatique,
1168,Produit 1167,42.91,3,Description automatique,
1169,Produit 1168,15.58,18,Description automatique,
1170,Produit 1169,87.2,9,Description automatique,
1171,Produit 1170,89.48,4,Description automatique,
1172,Produit 1171,7.64,24,Description automatique,
1173,Produit 1172,52.18,20,Description automatique,
1174,Produit 1173,29.3,16,Description automatique,
1175,Produit 1174,59.67,15,Description automatique,
1176,Produit 1175,46.62,47,Description automatique,
1177,Produit 1176,89.23,14,Description automatique,
1178,Produit 1177,14.59,42,Description automatique,
1179,Produit 1178,39.06,5,Description automatique,
1180,Produit 1179,5.52,0,Description automatique,
1181,Produit 1180,94.36,4,Description automatique,
1182,Produit 1181,11.9,10,Description automatique,
1183,Produit 1182,73.18,18,Description automatique,
1184,Produit 1183,54.7,4,Description automatique,
1185,Produit 1184,24.24,26,Description automatique,
1186,Produit 1185,69.19,44,Description automatique,
1187,Produit 1186,2.8,42,Description automatique,
1188,Produit 1187,15.93,35,Description automatique,
1189,Produit 1188,32.92,34,Description automatique,
1190,Produit 1189,45.24,18,Description automatique,
1191,Produit 1190,1.1,5,Description automatique,
1192,Produit 1191,31.88,10,Description automatique,
1193,Produit 1192,17.87,27,Description automatique,
1194,Produit 1193,20.25,37,Description automatique,
1195,Produit 1194,3.17,45,Description automatique,
1196,Produit 1195,12.32,5,Description automatique,
1197,Produit 1196,56.04,23,Description automatique,
1198,Produit 1197,54.71,26,Description automatique,
1199,Produit 1198,19.06,26,Description automatique,
1200,Produit 1199,93.04,5,Description automatique,
1201,Produit 1200,7.33,28,Description automatique,
1202,Produit 1201,73.91,24,Description automatique,
1203,Produit 1202,87.23,0,Description automatique,
1204,Produit 1203,67.05,12,Description automatique,
1205,Produit 1204,65.43,11,Description automatique,
1206,Produit 1205,24.53,15,Description automatique,
1207,Produit 1206,19.81,28,Description automatique,
1208,Produit 1207,83.03,31,Description automatique,
1209,Produit 1208,92.05,8,Description automatique,
1210,Produit 1209,56.16,2,Description automatique,
1211,Produit 1210,17.32,27,Description automatique,
1212,Produit 1211,11.89,16,Description automatique,
1213,Produit 1212,6.98,17,Description automatique,
1214,Produit 1213,71.86,26,Description automatique,
1215,Produit 1214,41.16,41,Description automatique,
1216,Produit 1215,54.81,32,Description automatique,
1217,Produit 1216,76.34,45,Description automatique,
1218,Produit 1217,44.24,5,Description automatique,
1219,Produit 1218,90.98,30,Description automatique,
1220,Produit 1219,20.74,17,Description automatique,
1221,Produit 1220,80.86,45,Description automatique,
1222,Produit 1221,81.53,0,Description automatique,
1223,Produit 1222,67.13,14,Description automatique,
1224,Produit 1223,82.87,20,Description automatique,
1225,Produit 1224,42.95,14,Description automatique,
1226,Produit 1225,31.62,47,Description automatique,
1227,Produit 1226,93.92,3,Description automatique,
1228,Produit 1227,11.83,34,Description automatique,
1229,Produit 1228,98.51,42,Description automatique,
1230,Produit 1229,15.13,41,Description automatique,
1231,Produit 1230,80.49,26,Description automatique,
1232,Produit 1231,1.6,9,Description automatique,
1233,Produit 1232,55.99,12,Description automatique,
1234,Produit 1233,17.02,2,Description automatique,
1235,Produit 1234,61.44,16,Description automatique,
1236,Produit 1235,21.24,24,Description automatique,
1237,Produit 1236,70.74,41,Description automatique,
1238,Produit 1237,15.18,34,Description automatique,
1239,Produit 1238,98.76,45,Description automatique,
1240,Produit 1239,29.15,48,Description automatique,
1241,Produit 1240,50.72,24,Description automatique,
1242,Produit 1241,21.97,4,Description automatique,
1243,Produit 1242,98.54,15,Description automatique,
1244,Produit 1243,44.59,41,Description automatique,
1245,Produit 1244,23.66,7,Description automatique,
1246,Produit 1245,93.68,48,Description automatique,
1247,Produit 1246,1.15,18,Description automatique,
1248,Produit 1247,39.04,42,Description automatique,
1249,Produit 1248,44.45,44,Description automatique,
1250,Produit 1249,57.37,34,Description automatique,
1251,Produit 1250,3.99,39,Description automatique,
1252,Produit 1251,82.18,27,Description automatique,
1253,Produit 1252,50.83,40,Description automatique,
1254,Produit 1253,7.12,1,Description automatique,
1255,Produit 1254,85.4,36,Description automatique,
1256,Produit 1255,71.49,31,Description automatique,
1257,Produit 1256,82.81,13,Description automatique,
1258,Produit 1257,9.89,6,Description automatique,
1259,Produit 1258,41.54,35,Description automatique,
1260,Produit 1259,81.87,43,Description automatique,
1261,Produit 1260,55.51,17,Description automatique,
1262,Produit 1261,39.27,28,Description automatique,
1263,Produit 1262,2.28,38,Description automatique,
1264,Produit 1263,50.53,26,Description automatique,
1265,Produit 1264,29.53,47,Description automatique,
1266,Produit 1265,84.32,48,Description automatique,
1267,Produit 1266,94.47,28,Description automatique,
1268,Produit 1267,26.39,38,Description automatique,
1269,Produit 1268,54.61,39,Description automatique,
1270,Produit 1269,65.54,3,Description automatique,
1271,Produit 1270,15.13,28,Description automatique,
1272,Produit 1271,7.5,43,Description automatique,
1273,Produit 1272,19.49,48,Description automatique,
1274,Produit 1273,13.03,30,Description automatique,
1275,Produit 1274,98.03,8,Description automatique,
1276,Produit 1275,67.32,5,Description automatique,
1277,Produit 1276,78.01,42,Description automatique,
1278,Produit 1277,4.41,4,Description automatique,
1279,Produit 1278,6.36,16,Description automatique,
1280,Produit 1279,39.18,4,Description automatique,
1281,Produit 1280,60.84,8,Description automatique,
1282,Produit 1281,54.89,28,Description automatique,
1283,Produit 1282,18.33,43,Description automatique,
1284,Produit 1283,60.82,26,Description automatique,
1285,Produit 1284,84.8,0,Description automatique,
1286,Produit 1285,12.27,39,Description automatique,
1287,Produit 1286,80.05,40,Description automatique,
1288,Produit 1287,97.53,2,Description automatique,
1289,Produit 1288,94.19,26,Description automatique,
1290,Produit 1289,2.26,27,Description automatique,
1291,Produit 1290,29.15,7,Description automatique,
1292,Produit 1291,72.88,17,Description automatique,
1293,Produit 1292,12.58,30,Description automatique,
1294,Produit 1293,50.48,29,Description automatique,
1295,Produit 1294,21.21,42,Description automatique,
1296,Produit 1295,66.31,45,Description automatique,
1297,Produit 1296,74.49,31,Description automatique,
1298,Produit 1297,11.58,7,Description automatique,
1299,Produit 1298,8.71,19,Description automatique,
1300,Produit 1299,82.51,32,Description automatique,
1301,Produit 1300,41.04,27,Description automatique,
1302,Produit 1301,19.2,25,Description automatique,
